id,moviw,gener,prce,sum
AD100,Running the Boards,Adventure,R   ,27.0,20
AD101,Chairman of the Bored,Adventure,R   ,37.0,22
AD102,The Bloody Raiders,Adventure,PG  ,33.0,17
AD103,Men and Their Fish Tales,Adventure,R   ,31.0,24
AD104,Caught !,Adventure,PG  ,34.0,17
AD105,The Crocodile Eaters,Adventure,PG  ,26.0,17
AD202,The Pineapple Trail,Adventure,R   ,20.0,4
AD203,Searching for Sammy,Adventure,R   ,30.0,6
AD204,The White Wolf King,Adventure,PG  ,26.0,1
AD205,Kingdom of The Messiah,Adventure,R   ,24.0,8
AD206,The Lost Colony of Man,Adventure,PG  ,27.0,1
AD207,The Mountain Campsite,Adventure,PG  ,19.0,1
AD304,Where Did the Mammoth Go?,Adventure,R   ,17.0,13
AD305,The Wild and Wooly Beasts,Adventure,R   ,27.0,15
AD306,Scratching Fleas,Adventure,PG  ,23.0,10
AD307,Washing the Cat,Adventure,R   ,21.0,17
AD308,Attack of the Barbary Pirates,Adventure,PG  ,24.0,10
AD309,The Black Pearl,Adventure,PG  ,16.0,10
AD406,The Beautiful Barbarians,Adventure,R   ,15.0,3
AD407,Trek in the Tall Trees,Adventure,R   ,25.0,5
AD408,Living Alone in Altuna,Adventure,PG  ,21.0,0
AD409,Justice Is Carried Out,Adventure,R   ,19.0,7
AD410,FInding Tracy,Adventure,PG  ,22.0,0
AD411,Western Shores,Adventure,PG  ,14.0,0
AD508,Diving for Treasue,Adventure,R   ,15.0,28
AD509,The Time To Talk Is Now,Adventure,R   ,25.0,30
AD510,Unto These Worlds ,Adventure,PG  ,21.0,25
AD511,Fly  Fly Away!,Adventure,R   ,19.0,32
AD512,Overnight in the Dark,Adventure,PG  ,22.0,25
AD513,Swirling Dirvishes,Adventure,PG  ,14.0,25
CH106,Simon Sez Do It,Children,PG  ,21.0,18
CH107,Sally and the Chimp,Children,G   ,21.0,17
CH108,Tony Tonka Truckman,Children,G   ,26.0,18
CH109,Tag!  You're It!,Children,G   ,46.0,29
CH208,Fantasy World 3,Children,PG  ,14.0,2
CH209,Silly Rabbit,Children,G   ,14.0,1
CH210,Baby Woo Woo,Children,G   ,19.0,2
CH211,Choo Choo Chootrain,Children,G   ,39.0,13
CH310,Samantha Stone,Children,PG  ,11.0,11
